id,value,languageId,frequencyRank
1,der,1,1
2,the,2,
3,"that, those",2,
4,"who, that",2,
5,und,1,2
6,and,2,
7,in,1,3
8,in,2,
9,"sein, ist, war, ist gewesen",1,4
10,to be,2,
11,ein,1,5
12,"a, an",2,
13,one (of),2,
14,"haben, hat, hatte, hat gehabt",1,6
15,to have,2,
16,sie/Sie,1,7
17,"she, her",2,
18,"they, them",2,
19,you (formal),2,
20,"werden, wird, wurde, ist geworden",1,8
21,"to become, to get",2,
22,von,1,9
23,"from, of",2,
24,ich,1,10
25,I,2,
26,nicht,1,11
27,not,2,
28,es,1,12
29,it,2,
30,mit,1,13
31,with,2,
32,sich,1,14
33,-self,2,
34,er,1,15
35,he,2,
36,auf,1,16
37,"on, at, to",2,
38,für,1,17
39,for,2,
40,auch,1,18
41,"also, too",2,
42,an,1,19
43,"at, on",2,
44,dass,1,20
45,that,2,
46,zu,1,21
47,to,2,
48,too,2,
49,als,1,22
50,"as, when",2,
51,than,2,
52,"können, kann, konnte, hat können",1,23
53,"to be able to, to can",2,
54,dies,1,24
55,"this, that",2,
56,wie,1,25
57,how,2,
58,as,2,
59,wir,1,26
60,we,2,
61,ihr,1,27
62,"you, her",2,
63,"her, their, hers, theirs",2,
64,your,2,
65,so,1,28
66,"so, thus, the way, such",2,
67,so,2,
68,bei,1,29
69,"by, with, at",2,
70,sein,1,30
71,"his, its",2,
72,aber,1,31
73,but,2,
74,"really, quite",2,
75,man,1,32
76,"one, you, they",2,
77,noch,1,33
78,"still, yet",2,
79,nach,1,34
80,"after, toward",2,
81,oder,1,35
82,or,2,
83,all,1,36
84,all,2,
85,aus,1,37
86,"out, out of, from",2,
87,was,1,38
88,what,2,
89,nur,1,39
90,only,2,
91,"sagen, sagt, sagte, hat gesagt",1,40
92,"to say, to tell",2,
93,dann,1,41
94,then,2,
95,wenn,1,42
96,"if, when",2,
97,"müssen, muss, musste, hat gemusst",1,43
98,"to have to, to must",2,
99,um,1,44
100,"around, at",2,
101,in order to,2,
102,ja,1,45
103,"yes, of course",2,
104,kein,1,46
105,no,2,
106,über,1,47
107,"above, over, about",2,
108,da,1,48
109,there,2,
110,because,2,
111,"geben, gibt, gab, hat gegeben",1,49
112,to give,2,
113,vor,1,50
114,"in front of, before, ago",2,
115,mein,1,51
116,"my, mine",2,
117,mehr,1,52
118,more,2,
119,"das Jahr, -e",1,53
120,year,2,
121,du,1,54
122,you,2,
123,durch,1,55
124,through,2,
125,viel,1,56
126,"much, a lot, many",2,
127,"wollen, will, wollte, hat gewollt",1,57
128,to want to,2,
129,"machen, macht, machte, hat gemacht",1,58
130,"to do, to make",2,
131,"andere (r, s)",1,59
132,other,2,
133,"sollen, soll, sollte, hat gesollt",1,60
134,"to should, to ought to",2,
135,schon,1,61
136,already,2,
137,quite,2,
138,"kommen, kommt, kam, ist gekommen",1,62
139,to come,2,
140,mir,1,63
141,me,2,
142,immer,1,64
143,always,2,
144,mich,1,65
145,"gehen, geht, ging, ist gegangen",1,66
146,to go,2,
147,groß,1,67
148,"big, large, great",2,
149,hier,1,68
150,here,2,
151,ganz,1,69
152,"whole, all the",2,
153,zwei,1,70
154,two,2,
155,also,1,71
156,jetzt,1,72
157,now,2,
158,doch,1,73
159,"however, but",2,
160,after all,2,
161,wieder,1,74
162,again,2,
163,uns,1,75
164,"us, we",2,
165,gut,1,76
166,good,2,
167,bis,1,77
168,"until, till",2,
169,until,2,
170,"wissen, weiß, wusste, hat gewusst",1,78
171,to know,2,
172,"sehen, sieht, sah, hat gesehen",1,79
173,to see,2,
174,einer,1,80
175,(some)one,2,
176,sehr,1,81
177,very,2,
178,Mal,1,82
179,"time, mark",2,
180,times,2,
181,once,2,
182,"lassen, lässt, ließ, hat gelassen",1,83
183,"to let, to allow, to have done",2,
184,neu,1,84
185,new,2,
186,"stehen, steht, stand, hat gestanden",1,85
187,to stand,2,
188,unser,1,86
189,our,2,
190,"jede (r, s)",1,87
191,every,2,
192,weil,1,88
193,unter,1,89
194,under,2,
195,"der Mensch, -en",1,90
196,human being,2,
197,ihm,1,91
198,him,2,
199,ihn,1,92
200,denn,1,93
201,anyway,2,
202,"das Beispiel, -e",1,94
203,example,2,
204,"erste (r, s)",1,95
205,first,2,
206,"die Zeit, -en",1,96
207,time,2,
208,lang,1,97
209,long,2,
210,for a long time,2,
211,"leben, lebt, lebte, hat gelebt",1,98
212,to live,2,
213,"die Frau, -en",1,99
214,"woman, wife, Mrs.",2,
215,etwas,1,100
216,"something, some, a little",2,
217,"selbst, selber",1,101
218,even,2,
219,wenig,1,102
220,few,2,
221,"little, few",2,
222,"finden, findet, fand, hat gefunden",1,103
223,to find,2,
224,gegen,1,104
225,against,2,
226,zwischen,1,105
227,between,2,
228,drei,1,106
229,three,2,
230,"liegen, liegt, lag, hat gelegen",1,107
231,to lie,2,
232,wo,1,108
233,where,2,
234,"nichts, nix",1,109
235,nothing,2,
236,klein,1,110
237,"small, little",2,
238,"der Tag, -e",1,111
239,day,2,
240,deutsch,1,112
241,German,2,
242,"bleiben, bleibt, blieb, ist geblieben",1,113
243,"to stay, to remain",2,
244,"nun, nu",1,114
245,sondern,1,115
246,but (on the contrary),2,
247,heute,1,116
248,today,2,
249,beide,1,117
250,both,2,
251,hoch,1,118
252,"high, tall",2,
253,damit,1,119
254,with it,2,
255,ohne,1,120
256,without,2,
257,"der Mann, -̈er",1,121
258,man,2,
259,"welch, -e, -er, -es",1,122
260,which,2,
261,"tun, tut, tat, hat getan",1,123
262,to do,2,
263,einmal,1,124
264,ihnen,1,125
265,them,2,
266,"heißen, heißt, hieß, hat geheißen",1,126
267,to be called,2,
268,ob,1,127
269,"whether, if",2,
270,"denken, denkt, dachte, hat gedacht",1,128
271,to think,2,
272,dabei,1,129
273,"with it, there",2,
274,seit,1,130
275,"since, for",2,
276,einfach,1,131
277,"simple, easy",2,
278,simply,2,
279,erst,1,132
280,"first, only, not until",2,
281,"just, only now",2,
282,"das Kind, -er",1,133
283,child,2,
284,"das Land, -̈er",1,134
285,"land, country, state",2,
286,"stellen, stellt, stellte, hat gestellt",1,135
287,"to place, to set, to put",2,
288,"zeigen, zeigt, zeigte, hat gezeigt",1,136
289,to show,2,
290,natürlich,1,137
291,natural,2,
292,"naturally, of course",2,
293,alt,1,138
294,old,2,
295,dort,1,139
296,Deutschland,1,140
297,Germany,2,
298,gleich,1,141
299,"same, right away, just",2,
300,"nehmen, nimmt, nahm, hat genommen",1,142
301,to take,2,
302,"dürfen, darf, durfte, hat gedurft",1,143
303,to be allowed to may,2,
304,wichtig,1,144
305,important,2,
306,vielleicht,1,145
307,"perhaps, maybe",2,
308,"hören, hört, hörte, hat gehört",1,146
309,to hear,2,
310,"das Haus, -̈er",1,147
311,house,2,
312,"nein, nee, nö",1,148
313,wer,1,149
314,"who, whoever",2,
315,dazu,1,150
316,"in addition, furthermore, to that, for that",2,
317,eigentlich,1,151
